Department_Id,Department_Name,Department_Phone_Number
110,Outpatient Department (OPD),773-702-1000
111,Inpatient Service (IP),773-702-1234
112,Medical Department,773-702-6233
113,Nursing Department,773-702-6250
114,Paramedical Departments,773-702-6664
115,Pathology Department,773-702-6827
116,Physical Medicine and Rehabilitation Department,773-702-6246
117,Operation Theatre Complex (OT),773-702-2355
118,Pharmacy Department,773-702-1000
119,Radiology Department (X-ray Department),773-702-1637
